Timestamp,Milisecond,Bus Voltage,Load Voltage,Current(mA),Power(mW),Diff,
1.63064E+12,306,-1,-1,-1,2608,d0,
1.63064E+12,474,-1,-1,-1,3348,d0,
1.63064E+12,474,-1,-1,-1,x,dset End,1
1.63064E+12,840,-1,-1,-1,2624,d0,
1.63064E+12,897,-1,-1,-1,3116,d0,
1.63064E+12,897,-1,-1,-1,x,dset End,2
1.63064E+12,426,-1,-1,-1,2592,d0,
1.63064E+12,543,-1,-1,-1,3186,d0,
1.63064E+12,543,-1,-1,-1,x,dset End,3
1.63064E+12,295,-1,-1,-1,2716,d0,
1.63064E+12,346,-1,-1,-1,2976,d0,
1.63064E+12,346,-1,-1,-1,x,dset End,4
1.63064E+12,263,-1,-1,-1,2724,d0,
1.63064E+12,324,-1,-1,-1,3032,d0,
1.63064E+12,324,-1,-1,-1,x,dset End,5
1.63064E+12,207,-1,-1,-1,2470,d0,
1.63064E+12,263,-1,-1,-1,2730,d0,
1.63064E+12,264,-1,-1,-1,x,dset End,6
1.63064E+12,983,-1,-1,-1,2534,d0,
1.63064E+12,97,-1,-1,-1,3008,d0,
1.63064E+12,97,-1,-1,-1,x,dset End,7
1.63064E+12,147,-1,-1,-1,2782,d0,
1.63064E+12,213,-1,-1,-1,2716,d0,
1.63064E+12,213,-1,-1,-1,x,dset End,8
1.63064E+12,438,-1,-1,-1,2842,d0,
1.63064E+12,494,-1,-1,-1,3150,d0,
1.63064E+12,494,-1,-1,-1,x,dset End,9
1.63064E+12,598,-1,-1,-1,2942,d0,
1.63064E+12,729,-1,-1,-1,2870,d0,
1.63064E+12,730,-1,-1,-1,x,dset End,10
1.63064E+12,343,-1,-1,-1,2650,d0,
1.63064E+12,413,-1,-1,-1,3018,d0,
1.63064E+12,413,-1,-1,-1,x,dset End,11
1.63064E+12,656,-1,-1,-1,2516,d0,
1.63064E+12,711,-1,-1,-1,3038,d0,
1.63064E+12,711,-1,-1,-1,x,dset End,12
1.63064E+12,961,-1,-1,-1,2648,d0,
1.63064E+12,143,-1,-1,-1,3012,d0,
1.63064E+12,143,-1,-1,-1,x,dset End,13
1.63064E+12,956,-1,-1,-1,2458,d0,
1.63064E+12,110,-1,-1,-1,3034,d0,
1.63064E+12,110,-1,-1,-1,x,dset End,14
1.63064E+12,755,-1,-1,-1,2834,d0,
1.63064E+12,828,-1,-1,-1,2854,d0,
1.63064E+12,828,-1,-1,-1,x,dset End,15
1.63064E+12,474,-1,-1,-1,2746,d0,
1.63064E+12,637,-1,-1,-1,3054,d0,
1.63064E+12,637,-1,-1,-1,x,dset End,16
1.63064E+12,250,-1,-1,-1,2458,d0,
1.63064E+12,314,-1,-1,-1,2724,d0,
1.63064E+12,314,-1,-1,-1,x,dset End,17
1.63064E+12,367,-1,-1,-1,2570,d0,
1.63064E+12,427,-1,-1,-1,3182,d0,
1.63064E+12,427,-1,-1,-1,x,dset End,18
1.63064E+12,309,-1,-1,-1,2870,d0,
1.63064E+12,471,-1,-1,-1,3300,d0,
1.63064E+12,472,-1,-1,-1,x,dset End,19
1.63064E+12,57,-1,-1,-1,2458,d0,
1.63064E+12,109,-1,-1,-1,3012,d0,
1.63064E+12,109,-1,-1,-1,x,dset End,20
1.63064E+12,672,-1,-1,-1,2710,d0,
1.63064E+12,729,-1,-1,-1,3172,d0,
1.63064E+12,729,-1,-1,-1,x,dset End,21
1.63064E+12,860,-1,-1,-1,2812,d0,
1.63064E+12,28,-1,-1,-1,3146,d0,
1.63064E+12,29,-1,-1,-1,x,dset End,22
1.63064E+12,212,-1,-1,-1,2678,d0,
1.63064E+12,311,-1,-1,-1,2914,d0,
1.63064E+12,311,-1,-1,-1,x,dset End,23
1.63064E+12,530,-1,-1,-1,2760,d0,
1.63064E+12,660,-1,-1,-1,2808,d0,
1.63064E+12,660,-1,-1,-1,x,dset End,24
